Scientific Name,deutscher name,CAT,Criteria,NHV,Bemerkungen
Polyporus rhizophilus (Pat.) Sacc.,Steppenporling,EN,"B1ab(ii,iii)+D1",,An der Basis von Steppengräsern (Stipa)
Poronia punctata (L. :Fr.) Fr.,Punktierte Porenscheibe,CR,D1,,
Porpoloma metapodium (Fr.) Singer,Schwärzender Wiesenritterling,VU,"B1ab(iii,iv)+C2a(i)",,
Porpoloma pescaprae (Fr.) Singer,Spitzhütiger Wiesenritterling,VU,"B1ab(iii,iv)",,
Porpoloma spinulosum (Kuehner. et Romagn.) Singer,Borstiger Wiesenritterling,CR,D1,,
Protodontia piceicola (Kuehner ex Bourdot) Martin,Gallertiger Resupinatstacheling,VU,D1,,
Psathyrella canoceps (C.H.Kauffm.) A.H.Smith,Haariger Faserling,VU,D1,,
Psathyrella caputmedusae (Fr.) Konrad et Maubl.,Medusenhaupt,VU,D1,,
Psathyrella cernua (Vahl:Fr.) Hirsch,Ausblassender Faserling,VU,B1ab(iv),,
Psathyrella chondroderma (Berk. et Broome) A.H.Smith,Netziger Faserling,VU,B1ab(iv)+D1,,
Psathyrella cotonea (Quel.) Konrad et Maubl.,Schwefelfüßiger Faserling,VU,B1ab(iv)+D1,,Mittellandpilz
Psathyrella fatua (Fr.) Konrad et Maubl.,Tonblasser Faserling,NT,,,
Psathyrella friesii Kits van Wav.,Gefurchter Faserling,EN,B1ab(iv),,
Psathyrella leucotephra (Berk.et Broome) P.D. Orton,Ringfaserling,NT,,,
Psathyrella pennata (Fr.) Singer,Kohlen-Faserling,VU,D1,,
Psathyrella populina (Britzelm.) Kitsv.Wav.,Schwarzgestreifter Faserling,NT,,,
Psathyrella sacchariolens Enderle nom.prov.,Süßriechender Faserling,VU,D1,,
Psathyrella spadicea (Fr.) Singer,Schokoladenbrauner Faserling,VU,B1ab(iv),,
Psathyrella sphagnicola Maire,Moor-Zärtling,EN,"B1ab(iii,iv)",,an Sphagnum in offenen Hochmoorflächen
Psathyrella typhae (Kalchbr.) Pearson et Dennis,Halm-Faserling,EN,D1,,Halmen von Schilf und grossen Seggen
Pseudoclitocybe obbata (Fr.) Singer,Dunkler Gabeltrichterling,EN,"B1ab(ii,iii)",,
Pseudombrophila theioleuca Rolland,Schwefelgelber Dungbecherling,NT,,,
Pseudomerulius aureus (Fr.) Juelich,Goldgelber Fältling,EN,A4b,,"an sonnigen Stellen, auch Zaunpfähle nach Lit.; letzte Fundmeldung 1995"
Pseudoomphalina kalchbrenneri (Bres.) Singer,Kalchbrenners Scheinnabeling,VU,D2,,in Nadelstreu
Pseudoplectania vogesiaca (Pers.) Seav.,Gestielter Schwarzborstling,EN,D1,,
Pseudorhizina sphaerospora (Peck) Pouzar,Nadelholz-Scheinlorchel,EN,D1,,
Psilocybe coprophila (Bull.: Fr.) Quel.,Mist-Kahlkopf,VU,B1ab(iv),,
Psilocybe inquilina (Fr.: Fr.) Bres.,Klebhaut-Kahlkopf,NT,,,
Psilocybe turficola J. Favre,Torf-Kahlkopf,NT,,,In Mooren
Psilocybe velifera J. Favre,Behangener Kahlkopf,CR,D1,,"in Polstern von Carex firma, letzte Fundmeldung 1953"
Pulveroboletus gentilis (Quel.) Singer,Goldporiger Röhrling,VU,"B1ab(iii,iv)",,
Pulveroboletus hemichrysus (Berk. et M.A. Curtis) Singer,Schwefel-Röhrling,CR,A2a,,Letzte Fundmeldung 1940; an moderigem Holz
Pulveroboletus lignicola (Kbch.) Pilat,Nadelholz-Röhrling,VU,"B1ab(iii,iv)",,
Ramaria abietina (Pers.: Fr.) Quel.,Grünfleckende Koralle,NT,,,
Ramaria apiculata (Fr.) Donk,Grünspitzige Koralle,EN,"B1ab(iii,iv)+D1",,
Ramaria aurea (Schaeff.) Quel.,Goldgelbe Koralle,NT,,,
Ramaria bataillei (Maire) Corner,Batailles Koralle,VU,B1ab(iii),,
Ramaria botrytis (Pers.: Fr.) Ricken,Hahnenkamm,VU,B1ab(iii),,
Ramaria broomei (Cotton et Wakef.) R.H. Petersen,Broomes Bitter-Koralle,CR,D1,,
Ramaria curta (Fr.) Schild,Kurzsporige Koralle,CR,D1,,Letzte Fundmeldung 1979
Ramaria eumorpha (P. Karst.) Corner,Ockergelbe Koralle,NT,,,
Ramaria flavescens (Schaeff.) R.H. Petersen,Gelbliche Koralle,VU,B1ab(iii),,
Ramaria flavobrunnescens (G.F. Atk.) Corner,Gelbbräunende Koralle,EN,"B1ab(iii,iv)+D1",,
Ramaria ignicolor Bres.ex Corner,Feuerfarbene Koralle,VU,D1,,
Ramaria myceliosa (Peck) Corner,Kurzsporige Koralle,VU,D2,,
Ramaria neoformosa R.H. Petersen,Formosaähnliche Koralle,EN,D1,,
Ramaria roellinii Schild,Steppen-Koralle,CR,A2ac,,Letzte Fundmeldung 1965
Ramaria sanguinea (Pers.) Quel.,Blutrotfleckende Koralle,NT,,,
Ramaria subbotrytis (Coker) Corner,Schönfarbige Koralle,VU,D1,,
Ramaria suecica (Fr.) Donk,Schwedische Koralle,NT,,,
Ramaria testaceoflava (Bres.) Corner,Ziegelgelbe Koralle,EN,D1,,
Ramariopsis pulchella (Boud.) Corner,Hübsche Wiesenkeule,EN,"B1ab(ii,iii)",,im Grasland und grasigen Wäldern
Resinicium furfuraceum (Bres.) Parmasto,Kleiiger Harzzahn,VU,D2,,
Resupinatus kavinii (Pilat) M.M. Moser,Dickblättriger Liliputseitling,NT,,,nur in Westschweiz!
Rhizopogon obtextus (Sprengel) R.Rauschert,Gelbbräunliche Wurzeltrüffel,VU,D1,,
Rhodocybe ardosiaca E. Horak et Griesser,Blaustieliger Tellerling,EN,D1,,Auenwald
Rhodocybe caelata (Fr.) Maire,Genabelter Tellerling,NT,,,
Rhodocybe hirneola (Fr.: Fr.) P.D. Orton,Glänzender Tellerling,EN,Biab(iv),,"Nur Unterengadin und ein Fund aus dem Tessin, letzter Fund 1987"
Rhodocybe melleopallens P.D. Orton,Honiggelber Tellerling,EN,D1,,
Rhodocybe popinalis (Fr.) Singer,Bereifter Tellerling,VU,"B1ab(iii,iv)",,
Rhodocybe stangliana (Bresinsky et Pfaff) Riousset et Joss.,Knolliger Tellerling,EN,B1ab(iv),,Fichtenwald
Rhodoscypha ovilla (Peck) Dissing et Sivertsen,Rosafarbiger Weißhaarbecherling,VU,D1,,
Rhytisma salicinum (Pers.) Fr.,Weiden-Runzelschorf,EN,B1ab(iv)+D1,,an Weidenblättern
Rickenella mellea (Singer et Clemençon) Lamoure,Honigbrauner Heftelnabeling,VU,D1,,alpine Art
Ripartites albidoincarnata (Britzelm.) Konr. et Maubl.,Fleischrosafarbener Filzkrempling,CR,A2a,,Letzte Fundmeldung 1974
Ripartites serotinus Einhell.,Später Filzkrempling,CR,A2a,,Letzte Fundmeldung 1965
Russula amoenicolor Romagn.,Brätlings-Täubling,EN,D1,,
Russula amoenolens Romagn.,Camembert-Täubling,VU,B1ab(iii),,
Russula anatina Romagn.,Enten-Täubling,EN,D1,,
Russula brunneoviolacea Crawsh.,Violettbrauner Samt-Täubling,EN,D1,,
Russula carminipes Blum,Bereifter Ledertäubling,EN,D1,,
Russula cicatricata Romagn.,Olivbrauner Heringstäubling,EN,D1,,
Russula claroflava Grove,Chromgelber Graustieltäubling,VU,B1ab(iv),,
Russula consobrina (Fr.:Fr.) Fr.,Rußgrauer Täubling,VU,D1,,
Russula cremeoavellanea Singer,Freudiger Täubling,EN,D1,,
Russula cuprea Krombh.,Scharfer Kupfer-Täubling,VU,"B1ab(iii,iv)",,
Russula curtipes F.H. Moeller & Jul. Schaeff.,Kurzstieliger Ledertäubling,VU,D1,,
Russula cutefracta Cooke,Rissiger Zinnober-Täubling,NT,,,
Russula dryadicola Felln. et Landa,Silberwurz-Täubling,EN,D1,,alpine Art bei Silberwurz
Russula elaeodes (Bres.?) Rom.,Hellgrüner Heringstäubling,VU,D1,,
Russula emeticicolor (Jul. Schaeff.) Singer,Kleiner Zinnobertäubling,EN,D1,,
Russula faginea Romagn.,Buchen-Heringstäubling,VU,"B1ab(iii,iv)",,
Russula fuscorubra (Bres.) Singer,Braunroter Täubling,VU,D1,,
Russula galochroa Fr.,Cremeweißer Täubling,CR,D1,,
Russula gracillima J. Schaeff.,Zierlicher Birken-Täubling,NT,,,Rückgangstendenz
Russula graveolens Romell,Violettlicher Heringstäubling,EN,D1,,
Russula griseascens (Bon et Gaugue) L. Marti,Grauender Speitäubling,VU,D1,,Moorränder
Russula lilacea Quel.,Violettrissiger Frauentäubling,EN,D1,,
Russula livescens (Batsch) Quel.ss. Bres.,Kamm-Täubling,VU,"B1ab(iii,iv)",,
Russula lundellii Singer,Pracht-Täubling,EN,D1,,Art der Südalpen
Russula maculata Quel.et Roz.,Gefleckter Täubling,VU,"B1ab(iii,iv)",,
Russula medullata Romagn.,Falscher Frauen-Täubling,VU,D1,,
Russula melliolens Quel.,Honig-Täubling,VU,D1,,
Russula melzeri Zvara,Roter Samt-Täubling,EN,D1,,Letzte Fundmeldung 1992
Russula minutula Velen.,Kleiner Rosa-Täubling,NT,,,
Russula odorata Romagn.,Duftender Täubling,EN,D1,,
Russula pallidospora (Blum) Romagn.,Gelbblättriger Täubling,EN,D1,,
Russula pectinata (Bull.:St.-Am.) Fr. ss.Singer,Schärflicher Kamm-Täubling,EN,B1ab(iv)+D1,,
Russula postiana Romell,Grünverfärbender Täubling,VU,D1,,
Russula pseudointegra Arnoult et Goris,Ockerblättriger Zinnobertäubling,VU,D1,,
Russula roseipes Secr.ss. Bres.,Rosastieliger Täubling,EN,D1,,
Russula rubra (Lamb.ex Fr.) Fr.ss.Bresadola,Scharfer Zinnobertäubling,EN,D1,,
"Russula sororia (Fr.) Romell ss.Boud., Romagn.",Großer Kamm-Täubling,EN,D1,,
Russula subfoetens W.G.Smith,Gilbender Stink-Täubling,VU,B1ab(iii),,
Russula taeniospora Einhell.,Karminroter Täubling,VU,D1,,
Russula urens Romell ap. Maire ex Singer,Scharfer Grüntäubling,VU,D1,,
Russula velenovskyi Melzer et Zwara,Ziegelroter Täubling,VU,D1,,
Russula velutipes Velen.,Rosen-Täubling,NT,,,
Russula versicolor J. Schaeff.,Vielfarbiger Täubling,VU,B1ab(iv),,
Russula veternosa Fr.,Scharfer Honigtäubling,EN,D1,,
Russula vinosobrunnea (Bres.) Romagn.,Weinbrauner Täubling,EN,"B1ab(iii,iv)",,
Rutstroemia elatina (Alb. et Schwein.:Fr.) Rehm,Weisstannen-Stromabecherling,VU,B1ab(iv),,Frühling
Sarcodon fennicus (P. Karst.) P. Karst.,Finnischer Stacheling,CR,A4a,,Letzte Fundmeldung 1950
Sarcodon fuligineoviolaceus (Kalchbr.ap.Fr.) Pat.,Brennender Stacheling,VU,D2,,
Sarcodon glaucopus Maas-Geest. et Nannf.,Blaufüßiger Stacheling,VU,B1ab(iii),,Warum keine Funde im Mittelland?
Sarcodon joeides (Pass.) Bat.,Blaufleischiger Stacheling,EN,"B1ab(iii,iv)",§CH,"Laubwald, zeitlicher Rückgang"
Sarcodon leucopus (Pers.) Maas-Gest. et Nannf.,Widerlicher Stacheling,EN,"B1ab(iii,iv)",,Wald-Sonderstandort
Sarcodon martioflavus (Snell et al.apud Snell et Dick) Maas-Geest.,Orangefüßiger Stacheling,VU,D2,,
Sarcodon scabrosus (Fr.) P. Karst.,Gallen-Stacheling,VU,"B1ab(iii,iv)",,Bei Tanne
Sarcodon versipellis (Fr.) Quel.,Orangebrauner Stacheling,VU,B1ab(iii),,Voralpen
Sarcodontia crocea (Schwein.: Fr.) Kotlaba,Krustenförmiger Stachelbart,EN,B1ab(iii),,an alten Apfelbäumen
Sarcoleotia globosa (Sommerf.:Fr.)Korf,Kugeliger Gallertkopf,VU,D1,,"alpine Art, sandige Gletschervorfelder"
Sarcoleotia turficola (Boud.) Dennis,Zweifarbiger Gallertbecher,EN,D1,,In Mooren
Scleroderma fuscum (Corda) Fischer,Rotbrauner Hartbovist,EN,D1,,
Scleroderma polyrhizum Gmel.ex Pers.,Starkwurzelnder Hartbovist,CR,D1,,nur aus dem Tessin nachgewiesen
Scleroderma verrucosum (Bull.) ex Pers.,Braunwarziger Kartoffelbovist,VU,B1ab(iii),,
Scutellinia mirabilis Dissing et Sivertsen,Wunder-Schildborstling,VU,D1,,
Scutellinia nigrohirtula (Svcrek) LeGal,Rauhhaariger Schildborstling,VU,D1,,
Scutellinia paludicola (Boud.) LeGal,Sumpf-Schildborstling,VU,D1,,
Scutellinia setosa (Nees:Fr.) O. Kuntze,Glattsporiger Schildborstling,VU,D1,,
Scutiger cristatus (Pers.: Fr.) Kotl. et Pouzar,Grüner Kammporling,VU,"B1ab(iii,iv)",,
Scutiger pescaprae (Pers.: Fr.) Bond. et Singer,Ziegenfuß-Porling,VU,"B1ab(iii,iv)",,
Sebacina dimitica Oberw.,Dimitische Wachskruste,VU,D1,,
Sericeomyces serenus (Fr.) Heinem.,Seidenschirmling,VU,D1,,xerotherme Standorte
Sericeomyces sericatus (K. et R.) Heinem.,Weisser Seidenschirmling,EN,D1,,
Simocybe centunculus (Fr.) Singer,Buchen-Schnitzling,NT,,,
Simocybe laevigata (J. Favre) P.D. Orton,Olivschnitzling,EN,B1ab(iii)+C2a(i),,Flachmoore
Simocybe reducta (Fr.) Karst.,Bernsteinfüßiger Schnitzling,EN,B1ab(iv),,
Simocybe sumptuosa (Orton) Singer,Großsporiger Buchen-Schnitzling,VU,D1,,
Sistotrema confluens Pers.:Fr.,Kreiselförmiger Schütterzahn,EN,B1ab(iv),,"am Boden auf Moosen, abgefallenen Blättern"
Skeletocutis lilacina A. David & Jean Keller (1984),Lilafarbener Korpelporling,CR,D1,,
Sowerbyella imperialis (Peck) Korf,Orangefarbiger Wurzelbecherling,VU,B1ab(iv),,Frühlingspilz
Sowerbyella radiculata (Sow.:Fr.) Nannf.,Ockergelber Wurzelbecherling,VU,D1,,
Spathularia neesii Bres.,ledergelber Spateling,EN,B1ab(iv),,im Nadelstreu
Spongipellis pachyodon (Pers.) Kotl.et Pouz.,Breitstacheliger Schwammporling,VU,B2ab(iv),,
Spongipellis spumeus (Sow.ex Fr.) Pat.,Laubholz-Schwammporling,EN,B1ab(iv)+B2ab(iv),,
Spongiporus balsameus (Peck) David,Wohlriechender Saftporling,EN,B1ab(iv),,
Squamanita odorata (Cool) Bas.,Duftender Schuppenwulstling,CR,D1,,im urbanen Raum
Squamanita paradoxa (Smith et Singer) Bas,Goldtstiel-Schuppenwulstling,CR,D1,,im urbanen Raum
Squamanita schreieri Imbach,Gelber Schuppenwulstling,EN,"B1ab(iii,iv)+D1",§CH,Auenwälder
Steccherinum bourdotii Saliba et J.C. David,Kleinsporiger Resupinatstacheling,EN,B1ab(iv)+B2ab(iv)+D1,,Südalpenpilz?
Steccherinum dichroum ss.Boud. et Galzin,Zweifarbiger Resupinatstacheling,EN,B1ab(iv)+D2,,
Steccherinum oreophilum Linds. et Gilberts,Berg-Resupinatstacheling,VU,D1,,
Stephanospora caroticolor (Berk.) Pat.,Karottentrüffel,NT,,,"als Hypogäe untervertreten, aber gut kenntlich Art"
Stigmatolemma conspersum (Pers.ex Fr.) Donk,Tannen-Stromabecherchen,EN,D1,,an Tannenholz
Stigmatolemma urceolatum (Wallr.:Fr.) Donk,Napfförmiges Stromabecherchen,VU,D2,,morsches Holz
Stropharia albocyanea (Desm.) Quel.,Blauer Träuschling,VU,B1ab(iii),,Grasland
Stropharia hornemannii (Weinm.:Fr.) Lund. et Nannf.,Üppiger Träuschling,CR,D1,,
Stropharia melasperma (Bull.ex Fr.) Quel.,Schwarzblättriger Träuschling,VU,B1ab(iv)+D1,,gedüngte Standorte
Suillus flavidus (Fr.) Singer,Moor-Röhrling,EN,B2ab(iv),,in Flach- und Hochmooren bei Föhren
Suillus plorans (Roll.) Singer,Zirbenröhrling,VU,B1ab(iii),§CH,
Suillus sibiricus Singer,Beringter Zirbenröhrling,VU,B1ab(iii),,
Tapesia rosae (Pers.) Fuckel,Rosen-Filzbecherchen,VU,D1,,
Tectella patellaris (Fr.) Murr.,Klebriger Schleierseitling,EN,D1,,"an Laubholz, insbesondere Erle"
Tephrocybe admissa (Britzelm.),Glasigers Graublatt,VU,D1,,
Tephrocybe ambusta (Fr.) Donk,Spitzhütiges Kohlen-Graublatt,NT,,,An Brandstellen
Tephrocybe mephitica (Fr.),Kleinsporiges Graublatt,EN,D1,,
Tephrocybe palustris (Peck) Donk,Sumpf-Graublatt,VU,B1ab(iv),,In Schlenken an Sphagnum
Tephrocybe putida (Fr.) M.M. Moser,Dickfleischiges Graublatt,VU,D1,,
Tephrocybe tylicolor (Fr.) M.M. Moser,Geriefter Graublattrübling,NT,,,
Thelephora anthocephala (Bull.:Fr.) Pers.,Blumenartige Lederkoralle,VU,"B1ab(iii,iv)",,
Thuemenidium atropurpureum (Batsch) O.Kuntze,Schwarzrote Blasssporerdzunge,VU,D1,,
Tomentella subclavigera Litsch.,Keulenzystiden-Filzgewebe,VU,D1,,rar aber weit verbreitet
Trechispora confinis (Bourdot et Galzin) Liberta,Stachelporling,VU,D1,,nur Tessin
Trechispora fastidiosa (Pers.:Fr.) Liberta,Stinkender Stachelsporling,VU,D1,,"ev eine südeuropäische Art auf Kalkböden, terrestrisch Lebensweise"
Trechispora microspora (P. Karst.) Liberta,Rundsporiger Stachelsporling,VU,B1ab(iv)+B2ab(iv),,weit verbreitet aber nicht häufig
Trechispora stellulata (Bourdot et Galzin) Liberta,langstacheliger Stachelsporling,VU,D1,,
Trechispora sulphurea (Pers.: Fr.) Liberta,Schwefelgelber Rindenpilz,VU,B1ab(iv),,
Trichoglossum hirsutum (Pers.:Fr.) Boud.,Behaarte Erdzunge,NT,,,"Feuchtwiesen, Moorart"
Tricholoma acerbum (Bull.:Fr.) Quel.,Gerippter Ritterling,VU,"B1ab(iii,iv),+B2ab(iv)",,
Tricholoma apium Jul. Schaeff.,Sellerie-Ritterling,CR,D1,,
Tricholoma arvernense Bon,Orangebrauner Ritterling,EN,"B1ab(iii,iv)+2ab(iv)",,
Tricholoma bresadolianum Clemencon,Bitterer Buchen-Ritterling,EN,"B1ab(iii,iv)",,bei Buchen
Tricholoma caligatum (Viv.) Ricken,Krokodil-Ritterling,VU,"B1ab(iii,iv)",§CH,
Tricholoma cingulatum (Fr.) Jacobasch,Beringter Erdritterling,NT,,,Abnahme?
Tricholoma colossus (Fr.) Quel.,Riesenritterling,EN,B1ab(iii)+D1,§CH,bei Föhren
Tricholoma focale (Fr.) Ricken,Orangebrauner Halsbandritterling,EN,"B1ab(iii,iv)+D1",,
Tricholoma fucatum (Fr.) Sacc.non ss.Ricken,Olivgrüner Ritterling,VU,B1ab(iv)+B2ab(iv),,
Tricholoma inocybeoides Pearson,Spitzgebuckelter Ritterling,EN,B1ab(iv)+B2ab(iii),,"bei Birken, auch in Parks"
Tricholoma inodermeum (Fr.) Gillet,Rissigfädiger Ritterling,EN,B1ab(iv)+D1,,"in Nadelwäldern auf Kalk, sehr selten"
Tricholoma luridum (Schff.ex Fr.) Quel.,Graublättriger Ritterling,NT,,,
Tricholoma pessundatum (Fr.) Quel.,Getropfter Ritterling,VU,D1,,
Tricholoma roseoacerbum Bon et Riva,Gerippter Rosa-Ritterling,EN,D1,,"bei Kastanien, Buchen der Birken"
Tricholoma stans (Fr.) Sacc.,Rotfleckendender Kiefern-Ritterling,VU,"B1ab(iii,iv)",,
Tricholoma sudum (Fr.) Quel.,Falbgrauer Ritterling,EN,D1,,seltene Art der Nadelwälder
Tricholoma sulphurescens Bres.,Salziger Ritterling,VU,D1,,"auf kalkreichen Böden bei Laubbäumen, auch in Parkanlagen"
Tricholoma triste (Scop.ex Fr.) Quel.,Rußstieliger Erdritterling,VU,D1,,"Nadelwälder, selten"
Tricholoma ustaloides Romagn.,Bitterer Eichen-Ritterling,VU,"B1ab(iii,iv)",,
Tricholoma viridifucatum Bon,Grünfarbiger Ritterling,VU,D1,,
Tricholomopsis flammula Metrod,Kleiner Holzritterling,VU,D2,,
Tricholomopsis ornata (Fr.) Singer,Rostschuppiger Holzritterling,VU,D1,,
Trichophaea abundans (Karsten) Boud.,Rundlicher Borstling,NT,,,
Trichophaea hemisphaerioides (Mouton) Graddon,Halbkugeliger Borstling,NT,,,
Trichophaeopsis  paludosa (Boud.) Haeffner et L.G. Krieglst.,Sumpf-Borstling,VU,D1,,
Tubaria confragosa (Pers.) Kuehner (1969),Beringter Trompetenschnitzling,VU,D2,,
Tubaria dispersa (Pers.) Singer,GelbblättrigerTrompetenschnitzling,VU,D2,,"dürfte von den Heckenaktionen und den aufgelichteten Waldrändern profitieren, sehr spezialisierte Art, bei Weissdorn"
Tubaria pallidispora J.E. Lange,Blaßsporigiger Trompetenschnitzling,VU,B1ab(iv),,
Tubaria praestans (Romagn) Moser,Ansehnlicher Trompetenschnitzling,EN,B1ab(iv),,
Tuber borchii Vittad.,Weißliche Trüffel,EN,D1,,auch in Parks
Tulasnella eichleriana Bres.,Milchiger Wachskrustenpilz,VU,D1,,
Tulostoma brumale Pers.: Pers.,Zitzen-Stielbovist,VU,D1,,sandige Böden
Tulostoma melanocyclum Bres.in Petri,Schwarzgehöfter Stielbovist,CR,D1,,xerotherme Standorte
Tulostoma petrii Bres. in Petri,Petris Stielbovist,CR,D1,,xerotherme Standorte
Tulostoma squamosum Gmel.ex Pers.,Brauner Stielbovist,EN,"B1ab(ii,iii)",,"sandiger, offener Boden"
Tylospora asterophora (Bonord.) Donk,Sternsporiger Warzensporling,VU,D1,,
Tyromyces chioneus (Fr.:Fr.) P. Karst.,Kurzröhriger Saftporling,EN,B1ab(iv),,an Laubholz
Tyromyces floriformis (Quél.) Bondartsev & Singer,Rosetten-Saftporling,EN,B1ab(iv)+B2ab(iv),,
Tyromyces placenta (Fr.) Ryvarden,Rosafarbener Saftporling,VU,B1ab(iv)+C2a(i),,
Urnula craterium (Schwein.) Fr.,Schwarzer Kelchpilz,CR,D1,,
Uthatobasidium fusisporum (Schroet.) Donk,Spindelsporiger Hydrabasidienpilz,NT,,,
Veluticeps abietina (Pers.:Fr.) Hjortstam et Telleria,Tannen-Buckelchenschichtpilz,NT,,,nur im Tessin
Verpa bohemica (Krombholz) Schroeter,Böhmische Verpel,VU,"B1ab(iii,iv)",,Auenwälder
Verpa conica (Timm: Fr.) Swartz,Fingerhut-Verpel,NT,,§CH,"Frühlingspilz, sandige Böden"
Volvariella bombycina (Pers.:Fr.) Singer,Wolliger Scheidling,EN,B1ab(iv),,an toten Partien alter Laubbäume
Volvariella caesiotincta P.D. Orton,Blaugrauer Scheidling,VU,D1,,
Volvariella surrecta (Knapp) Singer,Prasitischer Scheidling,NT,,,
Volvariella taylori (Berk.) Gillet,Asche-Scheidling,VU,D1,,"Ruderalstellen, nur Deutschschweiz"
Xenasma pruinosum (Pat.) Donk,Mehlige Wachshaut,EN,B1ab(iv),,
Xenasma pulverulentum (Litsch.) Donk,Körnige Wachshaut,VU,D1,,
Xerocomus armeniacus (Quel.) Quel.,Aprikosenfarbiger Röhrling,VU,B1ab(iii),,
Xerocomus moravicus (Vacek) Herink,Mährischer Röhrling,EN,"B1ab(iii,iv)",,
Xerocomus parasiticus (Bull.:Fr.) Quel.,Schmarotzer-Röhrling,VU,C1a(i),,
Xerocomus porosporus Imler,Falscher Rotfußröhrling,VU,D1,,Eventuell verkannt
Xerula caussei Maire,Schwarzbrauner Wurzelrübling,EN,D1,,bei Buchen auf Kalkböden
Xylaria filiformis (Alb. et Schwein.: Fr.) Fr.,Fädige Holzkeule,VU,D1,,
